,Percent of Adults (Ages 18 Years and Older) Ever Diagnosed with Depression.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We are happy to provide the following data from the 2018 Los Angeles County Health Survey. Please note that the disparities seen in the results for the different groups shown in the table are to a large degree driven by inequities in the social, economic, and environmental conditions experienced by these groups.  If you would like assistance in interpreting these disparities or other features of the data presented in the table, please do not hesitate to contact us at LAHealthData@ph.lacounty.gov or (213) 288-7785.  ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Los Angeles County Health Survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,,,2015,,,,,,2011,,,,,,2007,,,,,,2005,,,,,,2002 19,,,,,,1999,,,,,,,
,Diagnosed with Depression,,Percent ,95% CI,,,Estimated #,,,Percent,95% CI,,,,,Percent,95% CI,,,,,Percent,95% CI,,,,,Percent,95% CI,,,,Percent,,95% CI,,,,Percent,,95% CI,,,,,
,LA County,,16.5%,15.4,-,17.7,"1,316,000",,,13.0%,12.1,-,14.0,,,12.2%,11.2,-,13.1,,,13.6%,12.5,-,14.6,,,12.9%,12.0,-,13.8,,,9.7%,9.0,-,10.4,,,8.8%,8.1,-,9.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,12.9%,11.4,-,14.4,"496,000",,,11.1%,9.8,-,12.4,,,9.4%,8.1,-,10.7,,,10.3%,9.0,-,11.7,,,9.5%,8.3,-,10.6,,,7.5%,6.5,-,8.5,,,6.5%,5.5,-,7.5,,,
,Female,,19.9%,18.2,-,21.6,"812,000",,,14.9%,13.6,-,16.2,,,14.8%,13.4,-,16.1,,,16.6%,15.1,-,18.1,,,16.2%,14.9,-,17.5,,,11.8%,10.8,-,12.9,,,11.0%,10.0,-,12.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-24,,16.0%,12.4,-,19.7,"169,000",,,8.7%,6.1,-,11.2,,,6.0%,3.8,-,8.2,,,10.7%,7.1,-,14.3,,,9.7%,7.2,-,12.2,,,7.2%,5.4,-,9.1,,,6.7%,5.1,-,8.3,,,
,25-29,,14.3%,10.3,-,18.2,"109,000",,,11.3%,7.9,-,14.6,,,10.1%,6.8,-,13.4,,,12.6%,8.6,-,16.6,,,9.3%,6.2,-,12.3,,,7.5%,5.7,-,9.4,,,6.6%,4.7,-,8.5,,,
,30-39,,16.8%,14.0,-,19.7,"250,000",,,10.4%,8.2,-,12.7,,,9.4%,7.3,-,11.5,,,11.8%,9.5,-,14.2,,,11.2%,9.3,-,13.0,,,8.2%,6.9,-,9.5,,,7.0%,5.6,-,8.5,,,
,40-49,,16.2%,13.5,-,18.9,"229,000",,,14.9%,12.5,-,17.2,,,14.1%,11.9,-,16.3,,,14.0%,12.0,-,16.0,,,14.1%,12.3,-,16.0,,,11.3%,9.7,-,12.9,,,11.0%,9.3,-,12.8,,,
,50-59,,18.4%,15.8,-,21.0,"249,000",,,17.4%,15.1,-,19.8,,,18.8%,16.3,-,21.3,,,19.0%,16.5,-,21.5,,,20.1%,17.7,-,22.6,,,13.8%,11.7,-,16.0,,,13.1%,10.8,-,15.4,,,
,60-64,,20.2%,16.4,-,23.9,"117,000",,,15.5%,12.4,-,18.5,,,18.0%,14.3,-,21.7,,,18.2%,14.8,-,21.7,,,16.5%,12.7,-,20.3,,,13.4%,9.8,-,17.0,,,9.1%,5.8,-,12.3,,,
,65 or over,,14.8%,12.4,-,17.1,"194,000",,,13.3%,11.5,-,15.1,,,10.6%,8.7,-,12.5,,,10.9%,9.1,-,12.7,,,10.5%,8.7,-,12.3,,,8.9%,6.9,-,10.8,,,8.1%,6.3,-,9.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latino,,14.5%,12.9,-,16.1,"512,000",,,10.7%,9.3,-,12.1,,,9.7%,8.4,-,11.1,,,12.4%,10.9,-,13.9,,,11.5%,10.2,-,12.8,,,7.4%,6.4,-,8.4,,,7.1%,6.1,-,8.1,,,
,White,,21.5%,19.3,-,23.7,"503,000",,,19.4%,17.5,-,21.3,,,17.1%,15.3,-,18.9,,,17.0%,15.1,-,18.9,,,16.4%,14.8,-,17.9,,,14.2%,12.8,-,15.5,,,11.9%,10.6,-,13.2,,,
